source,name,title,url,blurb
Kickstarter,Georg Fischer,Flipping Fortune,https://www.kickstarter.com/projects/herrgoldberg/flipping-fortune,Submitted as a preview crowdfunding project.
Kickstarter,Radek Ignatow,Bravery,https://www.kickstarter.com/projects/radek-ignatow/bravery,Submitted as a preview crowdfunding project.
Kickstarter,Edward Bell,Pocket Puffins: Lost in Space,https://www.kickstarter.com/projects/pocket-puffins/pocket-puffins-lost-in-space-18-card-solo-space-puzzle,"Kickstarter campaign went live on April 14, 2026 and ends May 14, 2026 at 7:01 AM PDT."
Kickstarter,Jason Tagmire,Button Shy Wallet Games: Spring 2026 Collection,https://www.kickstarter.com/projects/239309591/button-shy-wallet-games-spring-2026-collection,Submitted as a preview crowdfunding project.
Kickstarter,PRINTANDGAME,Path of Bones,https://www.kickstarter.com/projects/printandgame/path-of-bones-print-and-play-pnp-card-game-pdf?ref=discovery&term=print%20and%20play%20games&total_hits=491&category_id=34,"Kickstarter campaign launched March 14, 2026 and ends April 23, 2026 at 10:28 AM PDT."
Kickstarter,Tony Diaz,Forgetify,https://www.kickstarter.com/projects/nonymousgames/forgetify-recall-recite-repeat-0,
Kickstarter,Pierluigi De Luca,Play With Fire - The Card Game,https://www.kickstarter.com/projects/umbrapublishing/play-with-fire-the-card-game,
Kickstarter,Paper Tigers,Sole Survivor,https://www.kickstarter.com/projects/papertigers/sole-survivor-0,
Kickstarter,"Galen McCown, Stefan Barkow, Evan Wilcock, Jonathan Carnehl, Ryan Sromek, Chris Backe",Galen's Games Mint Tin Series 2,https://www.kickstarter.com/projects/galensgames/galens-games-mint-tin-series-2,
Kickstarter,"Leslie Kolke, Jered Byford",Shinobi Spy & Supply,https://www.kickstarter.com/projects/orcaislandgames/shinobi-spy-and-supply,
Kickstarter,Jason Greeno,The Weekly Haunt,https://www.kickstarter.com/projects/jasongreeno/theweeklyhaunt?utm_id=97758_v0_s00_e0_tv4,Submitted as a preview crowdfunding project.
Kickstarter,Hafiz Printer,Nothing But Net: A Playground Basketball Card Game,https://www.kickstarter.com/projects/hp1/nothing-but-net-2-player-head-to-head-basketball-card-game,
