Name,Designer,Description,URL
Village Builder,Doc Viglietti,A cozy solitaire village building game.,https://boardgamegeek.com/thread/2470162/wip-village-builder-2020-solitairegame-design-cont
Gem Getter Pro,Daniel W. Young,Rival gem enthusiasts compete to unearth the most valuable collection of gems.,https://www.clearlysharp.com/games
The Cubes of Europe,Ben Huntley,"Use dice to acquire and place unique cubes, manipulate the game state, and score victory points.",https://boardgamegeek.com/filepage/278285/the-cubes-of-europe-game-files
Royal Espionage,Rachel Bruner,"A storytelling game of intrigue, intelligence, and imminent death.",https://boardgamegeek.com/boardgame/257681/royal-espionage/files
Maquis,Jake Staines,Engage the Nazis of France in 'la petite guerre' and free your homeland!,https://boardgamegeek.com/filepage/179348/maquis-2019-pnp-files-v10
A Simple Life,Clint Goshn,Roll & Write to upgrade your farm and complete randomized run objectives,https://boardgamegeek.com/filepage/251102/game-sheets-and-1-page-rule-a-simple-life-contest
Galdor's Grip,Gregg Jewell,Stop an evil telepath with just your hands in this fantasy card game for one player.,https://greggjewell.itch.io/galdors-grip
Orchard,Mark Tuck,"Create the most fruitful micro orchard, but beware of rotten fruit!",https://boardgamegeek.com/filepage/159521/orchard-cards-v1
Alea's Garden,Brave James,"A cosy polyomino deckbuilding game, and winner of 2025 BoardGameGeek Solitaire competition!",https://linktr.ee/aleasgarden
Deckula!,Dr. Mindflip,Decadent and dramatic vampires try to decorate their castles in peace.,https://drmindflip.itch.io/deckula
Bargain Basement Bathysphere,Scott Slomiany,Explore the depths of Beachside Bay through multiple linked roll-and-write games. ,https://boardgamegeek.com/filepage/181118/bargain-basement-bathysphere-chapters-1-3
