Name,Description,URL
Martin's Card Extractor,A free web app to extract individual card images from PnP PDF files by drawing grids along the cutting guides.,https://extractor.gonzhome.us
Martin's Card Formatter,A free web app to upload individual card images and lay them out as properly formatted PnP PDF files.,https://formatter.gonzhome.us
PnP Launchpad,A website to keep track of current and upcoming PnP crowdfunding projects and promotions.,https://launchpad.gonzhome.us
PnPFinder,A community-curated website to search for and discover worthwhile PnP games.,http://pnpfinder.com
Martin's Card Prototyper,"Design quick card prototypes and export individual card images or print-ready sheets in this intuitive, easy-to-use web app.",https://prototyper.gonzhome.us
Component Studio,"An online, subscription-based formatting tool to easily format 100's of cards and output PnP PDF files, or upload to The Gamecrafter.",https://component.studio/
PnP Buddy,A free online tool to format your print and play files and adjust front-back page alignment.,http://www.pnpbuddy.com/
CardFoldr,A tool to help you convert a PDF of card grids into a gutterfold PDF.,https://foosel.github.io/cardfoldr/
PnP Tool,A Windows-based tool to perform various formatting tasks for PnP files.,https://boardgamegeek.com/thread/2490834/tool-for-help-with-your-game-prototype-tabletop-pn
nanDECK,"A free tool for designing games, enabling users to create custom cards and components via scripting and spreadsheet integration.",https://www.nandeck.com
Dextrous,"Faster prototyping for tabletop game designers. Make cards, tiles, tokens, at speed with game design software for Chrome.",https://www.dextrous.com.au/
PnP PDF Creator,"PnP PDF Creator is a powerful and easy-to-use tool that converts card images into clean, print-ready Print & Play PDF sheets. It is designed for game designers, prototypers, and players who want fast and reliable PDF generation for home or professional printing.",https://raoulschaupp.itch.io/pnp-pdf-creator
